"Zip Code","State","City","Zillow Home Value Index","Median Household Income"
10025,"NY","New York",1139543,6051861
60657,"IL","Chicago",345798,4299922
10023,"NY","New York",1579506,10708893
60614,"IL","Chicago",424873,6498350
79936,"TX","El Paso",120540,1988444
10002,"NY","New York",987917,2002349
10467,"NY","New York",387610,1357285
60640,"IL","Chicago",243196,2082853
77449,"TX","Katy",177770,2132746
94109,"CA","San Francisco",1264421,3605992
11226,"NY","New York",743618,1722653
10016,"NY","New York",1028752,8730077
32162,"FL","The Villages",248888,2401382
11375,"NY","New York",978588,2958154
11235,"NY","New York",731620,1925904
37013,"TN","Nashville",204695,1514020
90250,"CA","Hawthorne",616210,1727925
60647,"IL","Chicago",383622,2410673
37211,"TN","Nashville",251144,1521801
10009,"NY","New York",1095854,2299944
78660,"TX","Pflugerville",246445,2046549
60618,"IL","Chicago",389889,2792654
10029,"NY","New York",801775,1714185
10011,"NY","New York",1758043,7422443
10128,"NY","New York",1204465,10821609
77573,"TX","League City",256466,3083638
28269,"NC","Charlotte",196682,1880217
11201,"NY","New York",1322186,5112729
79912,"TX","El Paso",183783,2243584
78572,"TX","Mission",101680,1143385
30349,"GA","Riverdale",124452,1177163
20002,"DC","Washington",624590,2053439
90046,"CA","Los Angeles",1434173,2252457
78130,"TX","New Braunfels",215917,1688301
78613,"TX","Cedar Park",290704,2590406
20009,"DC","Washington",559011,2719073
10462,"NY","New York",135219,1482923
37042,"TN","Clarksville",130440,1070276
10003,"NY","New York",1637404,6135126
11206,"NY","New York",674601,1146373
63376,"MO","Saint Peters",191631,2215341
60613,"IL","Chicago",237191,2469238
77479,"TX","Sugar Land",368398,5117563
30044,"GA","Lawrenceville",182968,1585188
73099,"OK","Yukon",163533,1929275
10463,"NY","New York",645874,1978706
11230,"NY","New York",1011985,2177511
60629,"IL","Chicago",161510,1484727
11209,"NY","New York",998653,2276910
60625,"IL","Chicago",294646,1880692
30043,"GA","Lawrenceville",228290,2025689
75034,"TX","Frisco",423648,3280839
11212,"NY","New York",430429,1043007
75287,"TX","Dallas",316769,1703831
28277,"NC","Charlotte",346954,3342968
10024,"NY","New York",1529389,9152767
85032,"AZ","Phoenix",248333,1431437
7030,"NJ","Hoboken",791371,3764247
11214,"NY","New York",684820,1563213
21234,"MD","Parkville",202133,1787214
33160,"FL","Sunny Isles Beach",339807,1977112
78521,"TX","Brownsville",68522,1021498
23464,"VA","Virginia Beach",250611,1921758
77077,"TX","Houston",301961,2770568
94501,"CA","Alameda",1016311,2329808
30096,"GA","Duluth",218094,1502243
78704,"TX","Austin",487810,1858082
98052,"WA","Redmond",868903,3581486
77379,"TX","Houston",244702,3626560
11221,"NY","New York",910138,1166455
78245,"TX","San Antonio",170789,1310591
11229,"NY","New York",735692,1922566
8701,"NJ","Lakewood",325991,1546508
11207,"NY","New York",401695,1206549
60619,"IL","Chicago",123035,1017194
90034,"CA","Los Angeles",1270263,1791806
94110,"CA","San Francisco",1521590,3575820
78666,"TX","San Marcos",201213,1010037
30024,"GA","Suwanee",346637,3013489
60610,"IL","Chicago",301916,3326797
10019,"NY","New York",1268605,6040781
44107,"OH","Lakewood",171855,1359481
75067,"TX","Lewisville",241977,1457494
33025,"FL","Miramar",231033,1246767
33411,"FL","Royal Palm Beach",284364,1892300
33139,"FL","Miami Beach",360693,3101940
11377,"NY","New York",716226,1672212
90044,"CA","Los Angeles",419486,918792
48197,"MI","Ypsilanti",207823,1398202
2169,"MA","Quincy",416780,1686769
23462,"VA","Virginia Beach",194414,1366806
90805,"CA","Long Beach",457075,1336273
66062,"KS","Olathe",251437,2648249
44035,"OH","Elyria",90994,1207872
95630,"CA","Folsom",536701,2820677
90650,"CA","Norwalk",478270,1807048
11234,"NY","New York",575310,2423833
92683,"CA","Westminster",652484,1862276
85710,"AZ","Tucson",171590,1037087
78745,"TX","Austin",293311,1431450
11355,"NY","New York",683548,1287291
10314,"NY","New York",512718,2592527
30281,"GA","Stockbridge",151284,1332025
37075,"TN","Hendersonville",278838,1950637
94558,"CA","Napa",668198,2553889
60611,"IL","Chicago",345803,6201024
11215,"NY","New York",1275936,3882566
90026,"CA","Los Angeles",953933,1376117
85225,"AZ","Chandler",253757,1460035
91910,"CA","Chula Vista",525364,1772151
87111,"NM","Albuquerque",259975,2071103
28027,"NC","Concord",217824,1688887
6010,"CT","Bristol",185484,1646128
78240,"TX","San Antonio",182807,1208147
87114,"NM","Albuquerque",214279,1580498
89108,"NV","Las Vegas",199447,1054318
85308,"AZ","Glendale",281829,1865425
11211,"NY","New York",972056,1791794
17603,"PA","Lancaster",166626,1540364
93722,"CA","Fresno",239729,1393799
80134,"CO","Parker",466280,2743023
48180,"MI","Taylor",95894,1124363
85281,"AZ","Tempe",237429,872173
78577,"TX","Pharr",84197,815991
94533,"CA","Fairfield",377181,1514674
15601,"PA","Greensburg",145647,1766874
95608,"CA","Carmichael",402522,1896531
43055,"OH","Newark",124605,1194229
43081,"OH","Westerville",219935,1863383
44060,"OH","Mentor",166268,1949180
80013,"CO","Aurora",335527,1788081
33024,"FL","Pembroke Pines",261930,1521732
20906,"MD","Silver Spring",333408,1989790
33009,"FL","Hallandale",201766,890171
90066,"CA","Los Angeles",1425400,2176462
43123,"OH","Grove City",173095,1654690
97229,"OR","Portland",558781,3246847
76028,"TX","Burleson",202302,1827996
91709,"CA","Chino Hills",671925,2670963
11385,"NY","New York",641434,1929001
85364,"AZ","Yuma",126070,1163158
11373,"NY","New York",545820,1540367
14850,"NY","Ithaca",247048,1602222
65807,"MO","Springfield",122382,932576
98012,"WA","Bothell",578977,2297741
77459,"TX","Missouri City",272142,3045477
92677,"CA","Laguna Niguel",846985,3480508
95823,"CA","Sacramento",272919,945542
33908,"FL","Fort Myers",240796,1682345
44256,"OH","Medina",213777,2224800
2148,"MA","Malden",444465,1425277
60620,"IL","Chicago",127279,978048
10028,"NY","New York",1607274,8970406
27410,"NC","Greensboro",213011,1927640
45011,"OH","Hamilton",189657,1776236
33647,"FL","Tampa",289445,2340752
92804,"CA","Anaheim",572717,1437041
11238,"NY","New York",1026373,2064377
60634,"IL","Chicago",259614,1628427
8753,"NJ","Toms River",256990,2019342
65203,"MO","Columbia",213477,1884659
47906,"IN","West Lafayette",207609,1316968
98103,"WA","Seattle",855608,2404789
92345,"CA","Hesperia",246301,1083972
92126,"CA","San Diego",591402,2133097
90019,"CA","Los Angeles",1064470,1273919
43130,"OH","Lancaster",135497,1246283
27406,"NC","Greensboro",110050,977487
60016,"IL","Des Plaines",222435,1640528
46307,"IN","Crown Point",212348,2068189
28314,"NC","Fayetteville",113038,991838
27610,"NC","Raleigh",168420,1030921
89121,"NV","Las Vegas",200325,1021704
75056,"TX","The Colony",282814,2014875
30040,"GA","Cumming",292629,2146882
30188,"GA","Woodstock",231796,1733602
79938,"TX","El Paso",145892,1113550
92336,"CA","Fontana",445724,1999143
99301,"WA","Pasco",222302,1510011
20011,"DC","Washington",592424,1864152
77095,"TX","Houston",213642,2452615
91911,"CA","Chula Vista",477958,1554276
77845,"TX","College Station",247476,1912201
92503,"CA","Riverside",381673,1651721
94536,"CA","Fremont",1024955,2738242
7002,"NJ","Bayonne",366702,1631549
21740,"MD","Hagerstown",156889,1155003
11233,"NY","New York",621435,1017712
7302,"NJ","Jersey City",910725,2523986
90280,"CA","South Gate",431251,1260674
22191,"VA","Woodbridge",307678,1807383
19111,"PA","Philadelphia",176179,1193525
89117,"NV","Las Vegas",310562,2005944
87120,"NM","Albuquerque",192866,1526284
43230,"OH","Gahanna",201081,1777366
40475,"KY","Richmond",166571,1144742
46227,"IN","Indianapolis",135355,1010525
11236,"NY","New York",460032,1837123
91730,"CA","Rancho Cucamonga",443445,1526966
23320,"VA","Chesapeake",243677,1605369
74012,"OK","Broken Arrow",159238,1661775
90201,"CA","Bell",432512,1032857
92592,"CA","Temecula",468919,2380041
32244,"FL","Jacksonville",149641,1055171
21117,"MD","Owings Mills",253636,2268563
92109,"CA","San Diego",936448,1829663
34787,"FL","Winter Garden",306441,1383401
77450,"TX","Cinco Ranch",253236,3295618
92101,"CA","San Diego",599075,1687081
32822,"FL","Orlando",160538,760257
30080,"GA","Smyrna",262436,1738417
7093,"NJ","West New York",365975,1358216
60626,"IL","Chicago",172609,962127
90004,"CA","Los Angeles",1374854,1617768
28078,"NC","Huntersville",301095,2148000
10027,"NY","New York",1098299,1396419
34135,"FL","Bonita Springs",282134,1462206
90706,"CA","Bellflower",519988,1372275
48103,"MI","Ann Arbor",365310,2448218
30062,"GA","Marietta",321026,2620254
33186,"FL","The Crossings",298208,1658080
30052,"GA","Loganville",197513,1414032
30041,"GA","Cumming",352894,2502081
75217,"TX","Dallas",110472,852952
33012,"FL","Hialeah",195092,967498
30331,"GA","Atlanta",143588,1025196
11372,"NY","New York",539464,1379743
32256,"FL","Jacksonville",184234,1627110
34711,"FL","Clermont",254835,1476354
27834,"NC","Greenville",85404,841603
92335,"CA","Fontana",334174,1151005
37130,"TN","Murfreesboro",189935,1048441
23454,"VA","Virginia Beach",287652,2068533
38401,"TN","Columbia",173342,1175761
92021,"CA","El Cajon",480781,1371408
48185,"MI","Westland",141577,1018759
93065,"CA","Simi Valley",568322,2516019
91342,"CA","Los Angeles",512758,1708788
44130,"OH","Parma Heights",133905,1258772
95747,"CA","Roseville",477434,2142059
32218,"FL","Jacksonville",166360,1120153
95123,"CA","San Jose",993907,2250494
43026,"OH","Hilliard",231540,1908134
20019,"DC","Washington",315083,908920
22193,"VA","Woodbridge",317005,2245644
45840,"OH","Findlay",138626,1545218
80634,"CO","Greeley",295018,1528440
2155,"MA","Medford",576606,1965348
92627,"CA","Costa Mesa",826921,1617730
85705,"AZ","Tucson",142768,567218
20878,"MD","Gaithersburg",528536,3125578
30022,"GA","Johns Creek",404361,3492475
27858,"NC","Greenville",143872,1224902
23666,"VA","Hampton",168122,1150407
2360,"MA","Plymouth",359552,1965497
20001,"DC","Washington",647118,1693143
29072,"SC","Lexington",197788,1877204
11218,"NY","New York",952602,1624318
33027,"FL","Miramar",320811,1705274
89052,"NV","Henderson",396724,2762686
90011,"CA","Los Angeles",377402,857731
75206,"TX","Dallas",422378,1645179
11223,"NY","New York",876628,1971512
32174,"FL","Ormond Beach",234653,1470603
33063,"FL","Margate",177234,1028284
87121,"NM","Albuquerque",141580,941765
43701,"OH","Zanesville",103783,1045536
90025,"CA","Los Angeles",972608,3949010
72401,"AR","Jonesboro",109836,944349
10021,"NY","New York",1663724,11744436
90027,"CA","Los Angeles",1521461,1653447
10701,"NY","Yonkers",458198,1241251
58103,"ND","Fargo",184435,1321812
44077,"OH","Painesville",141019,1555999
75035,"TX","Frisco",360877,2308846
8831,"NJ","Monroe",350896,2214388
77082,"TX","Houston",172390,1518982
94544,"CA","Hayward",645149,1574008
19124,"PA","Philadelphia",85505,757607
